player_id;player_name;Conteggio
454386;Adrian Benedyczak;2
459128;Marco Brescianini;10
461843;Juan Berrocal;7
462699;Franz Stolz;4
465988;Elia Giani;10
466810;Ansu Fati;5
468066;Jens Cajuste;6
468539;Daniel Peretz;5
469669;Yvan Neyou;7
471690;Max Aarons;5
471890;Max Geschwill;2
474800;Facundo Medina;3
475413;Sacha Boey;5
480883;Miguel de la Fuente;7
481675;Christos Mandas;3
485584;Anass Salah-Eddine;2
485747;Thomas Keller;3
485965;Nicolas Cozza;6
486031;Nico González;7
486604;Vitezslav Jaros;5
487843;Lorenzo Colombo;13
487969;Randal Kolo Muani;8
488048;Benjamin Böckle;5
488052;Matthias Braunöder;5
490581;Mathias Olesen;5
491296;Anass Zaroury;5
493513;Karl Hein;6
494236;Andy Pelmard;8
495625;Víctor Chust;6
495722;Devis Vásquez;7
496745;Emil Holm;7
498237;David Carmo;4
500689;Evann Guessand;7
501049;Erik Ahlstrand;2
501418;Adrià Pedrosa;4
501709;Theo Bair;2
503866;Albert Grønbaek;7
503881;Aster Vranckx;5
503991;Yunus Musah;4
507345;Leonidas Stergiou;4
507486;Simon Sohm;4
512385;Luis Sinisterra;5
513245;Jesper Lindstrøm;6
513970;Julián Araujo;5
514895;Alexander Lind;2
515624;Henri Koudossou;5
518644;Largie Ramazani;4
521407;Walid Cheddira;14
522681;Ben Lhassine Kone;13
524925;Modibo Sagnan;7
525140;Goduine Koyalipou;5
525438;Horațiu Moldovan;5
526032;Moritz Oswald;3
528892;Harry Clarke;5
531065;Oussama El Azzouzi;3
532495;Marlon Mustapha;9
536482;Junior Dina Ebimbe;10
537598;Fábio Vieira;4
537602;João Mário;3
538810;Chris Ramos;6
538874;Terem Moffi;6
538963;Ruben Roosken;2
538974;Janis Antiste;10
538998;Timothée Pembélé;8
539134;Daniel Maldini;11
541628;Oliver Sonne;2
542588;Alessandro Sorrentino;5
542697;Rasmus Carstensen;4
543727;Botond Balogh;2
543771;Kristjan Asllani;7
544148;Tomas Cvancara;3
550829;Matej Kovar;4
551752;Demba Seck;6
554251;Yasser Larouci;6
554282;Szymon Wlodarczyk;4
555015;Ruan;4
555074;Oliwier Zych;2
555076;Romain Faivre;12
555820;Martín Payero;5
556865;Saad Agouzoul;4
